company_name,about,industry,sub_industry,company_stage,size,culture_tags,tech_stack,total_roles
Cargill,"Cargill provides food, agriculture, financial and industrial products and services to the world. They have operations in crop and livestock farming.",Agriculture,Farming,Established,Large (200-999),"Innovative, Sustainable, Global","SAP, Microsoft Azure",1
Monsanto,"Monsanto, now owned by Bayer, is a multinational agrochemical and agricultural biotechnology corporation involved in high-tech research into crop strains and farming methods.",Agriculture,Farming,Established,Large (200-999),"Innovative, High-tech, Research-focused","Python, Java, Cloud Services",1
Monsanto Company,"Monsanto focuses on agricultural biotechnology products and services, including genetically engineered crop seeds and herbicide products.",Agriculture,Crop Production,Public,"Very Large (1,000-4,999)","Innovative, Sustainability-focused, Global","GIS, Bioinformatics tools, ERP systems",3
John Deere,"John Deere is a major American manufacturer of agricultural machinery, including tractors, combine harvesters, balers, and lawn care equipment.",Agriculture,Agricultural Machinery,Public,"Very Large (1,000-4,999)","Innovative, Sustainability-focused, Team-oriented","CAD software, PLM software, ERP systems",5
Tyson Foods,"Tyson Foods is one of the world’s largest meat processing companies, also engaged in livestock farming.",Agriculture,Farming,Established,Large (200-999),"Customer-focused, Quality-driven, Sustainable","Blockchain, AI",1
Cargill Animal Nutrition,Cargill Animal Nutrition provides animal feed and nutrition products and services around the globe.,Agriculture,Livestock Management,Established,Large (200-999),"Innovative, Sustainable, Global","SAP, Microsoft Office, Cloud Solutions",1
Zoetis,"Zoetis is a global animal health company delivering quality medicines and vaccines, complemented by diagnostic products and genetic tests.",Agriculture,Livestock Management,Established,Large (200-999),"Innovative, Caring, Collaborative","Salesforce, SQL, Tableau",1
Allflex Livestock Intelligence,"Allflex Livestock Intelligence is a world leader in the design, development, manufacturing, and delivery of solutions for animal identification, monitoring, and traceability.",Agriculture,Livestock Management,Growth,Medium (50-199),"Tech-driven, Innovative, Eco-friendly","IoT, Big Data, Cloud Computing",1
DeLaval,"DeLaval is a leader in dairy farming equipment, offering products and services for milking, farm management, and animal care.",Agriculture,Livestock Management,Established,Large (200-999),"Innovative, Sustainable, Quality-focused","ERP Systems, CRM, Automated Systems",1
Merck Animal Health,"Merck Animal Health is a global leader in the research, development, manufacturing, and sale of veterinary medicines and vaccines.",Agriculture,Livestock Management,Established,Large (200-999),"Innovative, Ethical, Research-focused","Data Analytics, CRM Software, Cloud Solutions",1
BASF,BASF is a German multinational chemical company known for its extensive range of chemical products including agrichemicals. It is one of the largest chemical producers in the world.,Agriculture,Agrichemicals,Public,Large (200-999),"Innovative, Sustainable, Global","SAP, Microsoft Office, Salesforce",1
