company_name,industry,sub_industry,company_stage,company_size,role_title,role_description,required_skills,nice_to_have_skills,location,salary_min,salary_max,visa_sponsorship,min_experience_years
Cargill,Agriculture,Farming,Established,Large (200-999),Agricultural Analyst,Responsible for analyzing crop yield data and improving farm profitability.,"Data analysis, Statistical software, Agricultural knowledge","Machine learning, GIS","Minneapolis, MN",60000,90000,True,2
Monsanto,Agriculture,Farming,Established,Large (200-999),Bioinformatics Scientist,Work on genetic sequencing projects to develop new crop varieties.,"Bioinformatics, Python, Genomics","Machine learning, Big data analytics","St. Louis, MO",80000,120000,True,3
Monsanto Company,Agriculture,Crop Production,Public,"Very Large (1,000-4,999)",Agronomist,Responsible for advising farmers on soil management and crop production.,"Soil science, Crop management",GIS expertise,"St. Louis, MO",60000,85000,True,2
Monsanto Company,Agriculture,Crop Production,Public,"Very Large (1,000-4,999)",Plant Breeder,Develops new plant varieties using genetic modification and hybridization techniques.,"Genetics, Biotechnology",Project management,"St. Louis, MO",70000,100000,True,3
Monsanto Company,Agriculture,Crop Production,Public,"Very Large (1,000-4,999)",Field Trial Manager,Oversees the execution of field trials for new crop varieties.,"Field management, Data analysis",Statistical software,Multiple Locations,65000,90000,True,5
John Deere,Agriculture,Agricultural Machinery,Public,"Very Large (1,000-4,999)",Agricultural Engineer,Designs and develops new agricultural machinery and systems.,"Mechanical design, CAD, Project management",PLM knowledge,"Moline, IL",70000,110000,True,3
John Deere,Agriculture,Agricultural Machinery,Public,"Very Large (1,000-4,999)",Supply Chain Analyst,Analyzes and improves supply chain processes for agricultural machinery production.,"Data analysis, ERP systems, Supply chain management",SAP experience,"Moline, IL",60000,90000,True,2
John Deere,Agriculture,Agricultural Machinery,Public,"Very Large (1,000-4,999)",Field Service Technician,Provides onsite repairs and maintenance for agricultural machinery.,"Technical support, Problem solving, Customer service",Hydraulics experience,Multiple US Locations,45000,70000,False,1
John Deere,Agriculture,Agricultural Machinery,Public,"Very Large (1,000-4,999)",Product Manager,Oversees the development and marketing of a product line.,"Product lifecycle management, Market analysis, Leadership",Agile methodology,"Moline, IL",90000,130000,True,5
John Deere,Agriculture,Agricultural Machinery,Public,"Very Large (1,000-4,999)",Quality Assurance Specialist,Ensures the quality of agricultural machinery through rigorous testing and protocols.,"Quality assurance, Compliance regulation, Attention to detail",ISO standards,"Moline, IL",55000,80000,False,3
Tyson Foods,Agriculture,Farming,Established,Large (200-999),Livestock Supervisor,"Manage operations and welfare of livestock, ensuring ethical standards and product quality.","Animal science, Supply chain management, Leadership","AI, Blockchain","Springdale, AR",50000,75000,True,3
Cargill Animal Nutrition,Agriculture,Livestock Management,Established,Large (200-999),Animal Nutritionist,Responsible for developing nutrition solutions and advising on animal feed formulations.,"Animal Science, Nutrition Knowledge, Research","Veterinary Background, Sales Experience",Multiple Locations,60000,90000,True,2
Zoetis,Agriculture,Livestock Management,Established,Large (200-999),Veterinary Consultant,Provides expert advice and solutions to livestock producers to improve animal health and productivity.,"Veterinary Medicine, Client Management, Problem Solving","Biotechnology, Public Speaking",Multiple Locations,80000,120000,True,3
Allflex Livestock Intelligence,Agriculture,Livestock Management,Growth,Medium (50-199),Product Manager,Leads the development and implementation of new products for livestock identification and monitoring.,"Product Management, IoT, Agile Methodologies","Data Analysis, Customer Engagement",Multiple Locations,90000,130000,True,5
DeLaval,Agriculture,Livestock Management,Established,Large (200-999),Dairy Technology Specialist,Supports dairy farms in optimizing and automating their operations using DeLaval products.,"Dairy Science, Technology Applications, Customer Relations","Project Management, Technical Sales",Multiple Locations,70000,100000,True,3
Merck Animal Health,Agriculture,Livestock Management,Established,Large (200-999),Research Scientist,Conducts research to develop new vaccines and medicines for livestock.,"Biomedical Research, Laboratory Skills, Statistical Analysis","Pharmacology, Regulatory Affairs Knowledge",Multiple Locations,80000,110000,True,4
BASF,Agriculture,Agrichemicals,Public,Large (200-999),Agronomist,"Responsible for advising farmers on crop production, soil management, and use of agrichemicals.","Soil science, Crop production, Agronomy","GIS, Remote sensing","Ludwigshafen, Germany",50000,70000,True,3
BASF Corporation,Manufacturing,Chemical Production,Public,"Enterprise (5,000+)",Process Development Engineer,Develop and optimize chemical manufacturing processes,"Chemical Engineering, Process Design, Scale-up Experience","Six Sigma, AutoCAD, Aspen Plus","Freeport, TX",85000,130000,True,3
BASF Corporation,Manufacturing,Chemical Production,Public,"Enterprise (5,000+)",Production Shift Supervisor,Oversee chemical production operations and team management,"Chemical Manufacturing, Team Leadership, Safety Protocols","PSM Experience, ISO Standards","Geismar, LA",75000,95000,False,5
BASF Corporation,Manufacturing,Chemical Production,Public,"Enterprise (5,000+)",Quality Control Chemist,Perform analytical testing of chemical products,"Analytical Chemistry, GC/MS, Quality Control","ISO 17025, Method Development","Wyandotte, MI",55000,85000,True,1
BASF Corporation,Manufacturing,Chemical Production,Public,"Enterprise (5,000+)",VP of Manufacturing,Lead manufacturing strategy and operations across multiple sites,"Manufacturing Leadership, P&L Management, Operational Excellence","MBA, Six Sigma Black Belt","Florham Park, NJ",220000,350000,True,15
BASF Corporation,Manufacturing,Chemical Production,Public,"Enterprise (5,000+)",EHS Specialist,Ensure compliance with safety and environmental regulations,"OSHA Regulations, Environmental Compliance, Safety Training","CSP Certification, PSM Experience","Houston, TX",65000,95000,False,3
Syngenta,Agriculture,Agrichemicals,Public,Large (200-999),Research Scientist,Focus on developing new chemical formulations for pest control and crop efficiency.,"Chemistry, Formulation Science, Data analysis","Machine Learning, Statistical Modeling","Basel, Switzerland",70000,90000,True,5
Bayer Crop Science,Agriculture,Agrichemicals,Public,Large (200-999),Product Manager,"Manage the lifecycle of a portfolio of agrichemical products, from development through marketing and sales.","Product management, Market analysis, Project management","Digital marketing, CRM software","Monheim, Germany",60000,85000,True,4
Corteva Agriscience,Agriculture,Agricultural Biotechnology,Public,"Very Large (1,000-4,999)",Plant Geneticist,Responsible for developing new crop varieties with improved traits.,"Genetics, Bioinformatics",Project management,"Johnston, IA",80000,120000,True,3
Corteva Agriscience,Agriculture,Agricultural Biotechnology,Public,"Very Large (1,000-4,999)",Bioinformatics Scientist,Analyzes genomic data to support trait development.,"Python, R, Genomics",Machine learning,"Indianapolis, IN",95000,130000,True,2
Corteva Agriscience,Agriculture,Agricultural Biotechnology,Public,"Very Large (1,000-4,999)",Regulatory Affairs Specialist,Ensures compliance with global biotech regulations.,"Regulatory knowledge, Communication",Biotechnology laws,"Wilmington, DE",70000,90000,False,1
Corteva Agriscience,Agriculture,Agricultural Biotechnology,Public,"Very Large (1,000-4,999)",Field Trial Officer,Conducts and monitors field trials for new agricultural products.,"Data collection, Statistical analysis",GIS software,"Various Locations In The Midwest, Usa",55000,75000,False,0
Corteva Agriscience,Agriculture,Agricultural Biotechnology,Public,"Very Large (1,000-4,999)",Crop Protection Scientist,Develops new products for pest and disease control in crops.,"Chemistry, Plant pathology",Toxicology,"Indianapolis, IN",90000,115000,True,5
FMC Corporation,Agriculture,Agrichemicals,Public,Large (200-999),Regulatory Affairs Specialist,Responsible for ensuring company agrichemicals meet regulatory standards and securing approvals from government agencies.,"Regulatory knowledge, Documentation, Compliance","Project management, Legal knowledge","Philadelphia, Usa",55000,75000,True,3
Indigo Ag,Agriculture,AgriTech,Growth,"Very Large (1,000-4,999)",Data Scientist,Develop predictive models for agricultural outcomes.,"Python, Machine Learning, Data Analysis","Agricultural Science Knowledge, Big Data Technologies","Boston, MA",120000,160000,True,3
AeroFarms,Agriculture,AgriTech,Growth,Large (200-999),IoT Engineer,Design and maintain sensor networks for vertical farming operations.,"IoT, Cloud Platforms, Network Security","Experience with Agricultural Sensors, Data Analytics","Newark, NJ",95000,120000,True,2
Farmers Business Network,Agriculture,AgriTech,Growth,Large (200-999),Full Stack Developer,Build and optimize data platforms that support agricultural decision-making.,"Scala, JavaScript, Database Management","AgriTech Experience, Cloud Services","San Carlos, CA",110000,140000,True,3
Ceres Imaging,Agriculture,AgriTech,Growth,Large (200-999),GIS Specialist,Analyze spatial data and develop mapping applications for agricultural insights.,"GIS, Data Visualization, Python","Remote Sensing, Agricultural Science","Oakland, CA",80000,100000,True,2
The Climate Corporation,Agriculture,AgriTech,Growth,"Very Large (1,000-4,999)",Product Manager,Lead the development of digital farming solutions to support sustainable practices.,"Product Management, Agile Methodologies, Stakeholder Engagement","Experience in AgriTech, Knowledge of Sustainable Farming","San Francisco, CA",130000,165000,True,4
Mowi ASA,Agriculture,Aquaculture,Public,Large (200-999),Aquaculture Technician,Responsible for the daily management of fish health and environments.,"Fish biology, Water quality management",IoT experience,Norway,40000,60000,True,1
Mowi ASA,Agriculture,Aquaculture,Public,Large (200-999),Data Scientist,Analyze complex data sets to improve fish yields and reduce feed costs.,"Python, R, Statistical analysis",Machine learning,Remote,70000,90000,True,3
Mowi ASA,Agriculture,Aquaculture,Public,Large (200-999),Marketing Director,Lead global marketing campaigns and brand management for Mowi products.,"Strategic planning, Digital marketing",SEO/SEM,Scotland,100000,130000,True,8
Cermaq Group AS,Agriculture,Aquaculture,Private,"Very Large (1,000-4,999)",Fish Health Manager,Responsible for monitoring and ensuring the health of the fish stock.,"Veterinary knowledge, Epidemiology",Leadership,"Oslo, Norway",80000,120000,True,5
Cermaq Group AS,Agriculture,Aquaculture,Private,"Very Large (1,000-4,999)",Sustainability Officer,Leads initiatives and strategies to promote sustainable aquaculture practices.,"Sustainability practices, Regulatory compliance",Public speaking,"Oslo, Norway",70000,100000,False,4
Cermaq Group AS,Agriculture,Aquaculture,Private,"Very Large (1,000-4,999)",Aquaculture Engineer,Designs and oversees the construction and maintenance of aquaculture systems.,"System design, Project management",CAD software,"Oslo, Norway",65000,90000,True,3
Cooke Aquaculture,Agriculture,Aquaculture,Private,Large (200-999),Environmental Compliance Officer,Ensures all operations comply with environmental laws and standards.,"Regulatory knowledge, Environmental science",Project management,Canada,40000,60000,True,3
Grieg Seafood ASA,Agriculture,Aquaculture,Public,Medium (50-199),Aquaculture Operations Manager,Oversees daily operations of fish farms and staff management.,"Operational management, Leadership",Tech-savviness,Multiple Locations,50000,70000,True,5
SalMar ASA,Agriculture,Aquaculture,Public,Medium (50-199),Research Scientist,Conducts research to improve fish farming techniques and sustainability.,"Research methodology, Statistical analysis",Machine learning,Norway,45000,65000,True,4
Toyota Motor Corporation,Automotive,Car Manufacturers,Public,Large (200-999),Automotive Engineer,Responsible for developing new car models with a focus on efficiency and safety.,"CAD, Project Management, Automotive Engineering","AI, Machine Learning","Toyota City, Japan",60000,90000,True,3
Volkswagen AG,Automotive,Car Manufacturers,Public,Large (200-999),Product Designer,"Focuses on the design and usability of new car models, ensuring aesthetic appeal and user comfort.","Adobe Suite, Sketch, Prototyping","User Research, 3D Modeling","Wolfsburg, Germany",55000,80000,True,2
Ford Motor Company,Automotive,Car Manufacturers,Public,Large (200-999),Mechanical Engineer,Works on the development of mechanical systems of cars including engines and chassis.,"Mechanical Analysis, Simulations, Thermodynamics","Electrical Systems, Hybrid Technology","Dearborn, MI",70000,100000,True,4
"Honda Motor Co., Ltd.",Automotive,Motorcycle Manufacturers,Public,Large (200-999),Sales Manager,Lead sales strategies and manage distributions across various regions.,"Sales Management, Strategic Planning","Multilingual, CRM Software","Tokyo, Japan",80000,100000,True,5
General Motors Company,Automotive,Car Manufacturers,Public,Large (200-999),Data Scientist,Analyzes complex data sets to improve system efficiencies and vehicle performance.,"Python, R, Machine Learning","Big Data, Cloud Computing","Detroit, MI",80000,120000,True,5
Daimler Truck,Automotive,Commercial Vehicles,Established,Large (200-999),Mechanical Engineer,Responsible for the design and development of truck components.,"CAD, SolidWorks, Mechanical Analysis","Project Management, Simulation Software","Stuttgart, Germany",60000,90000,True,2
Volvo Trucks,Automotive,Commercial Vehicles,Established,Large (200-999),Data Scientist,Develop predictive models for vehicle maintenance and optimization.,"Python, Machine Learning, Data Analysis","IoT Experience, Big Data Tools","Gothenburg, Sweden",70000,100000,True,3
PACCAR Inc,Automotive,Commercial Vehicles,Established,Large (200-999),Software Engineer,Develop software solutions for vehicle control systems.,"C++, Embedded Systems, Real-Time Systems","Automotive Protocols, Agile Methodologies","Bellevue, WA",80000,120000,True,3
Scania,Automotive,Commercial Vehicles,Established,Large (200-999),Full Stack Developer,Develop and maintain web-based applications for internal and external services.,"JavaScript, React, Node.js","Cloud Services, UX/UI Design","Södertälje, Sweden",50000,80000,True,2
Navistar International Corporation,Automotive,Commercial Vehicles,Established,Large (200-999),Cloud Engineer,Implement and manage cloud-based solutions to improve business operations.,"AWS, Azure, Cloud Security","DevOps, Kubernetes","Lisle, IL",85000,110000,True,4
"Harley-Davidson, Inc.",Automotive,Motorcycle Manufacturers,Public,Large (200-999),Mechanical Engineer,Design and develop new motorcycle models focusing on performance and aesthetics.,"CAD, Product Lifecycle Management","CFD Simulation, Project Management","Milwaukee, WI",70000,90000,True,3
"Yamaha Motor Co., Ltd.",Automotive,Motorcycle Manufacturers,Public,Large (200-999),Product Development Engineer,Involved in the entire cycle of product development from concept to production.,"Mechanical Engineering, 3D CAD","Prototyping, Analytics","Iwata, Shizuoka",65000,85000,True,2
BMW Motorrad,Automotive,Motorcycle Manufacturers,Public,Large (200-999),Marketing Specialist,Develop and execute marketing campaigns for new motorcycle launches.,"Marketing Strategy, Digital Marketing","Social Media Management, Event Planning","Munich, Germany",55000,75000,True,3
Ducati Motor Holding S.p.A.,Automotive,Motorcycle Manufacturers,Public,Medium (50-199),Quality Assurance Engineer,Ensure all motorcycle models meet the highest quality standards before reaching the market.,"Quality Control, Statistical Analysis Software","Lean Manufacturing, Six Sigma","Bologna, Italy",48000,68000,True,4
Bosch Auto Parts,Automotive,Auto Parts,Established,Large (200-999),Automotive Engineer,Develop and enhance automotive parts designs to improve performance and efficiency.,"CAD, Simulation Software","Project Management, Six Sigma","Stuttgart, Germany",60000,90000,True,3
Denso,Automotive,Auto Parts,Established,Large (200-999),Product Designer,Designs and tests new automotive components with a focus on user experience and safety.,"Adobe Suite, 3D Modeling","UX/UI Knowledge, Prototyping","Kariya, Japan",55000,85000,True,2
Denso Corporation,Automotive,Auto Parts,Established,Large (200-999),VP of Sales,Lead global sales strategies and operations to drive business growth and market expansion.,"Sales management, Business development","Multilingual, CRM software","Kariya, Japan",150000,220000,True,10
Denso Corporation,Automotive,Auto Parts,Established,Large (200-999),UX Designer,Create compelling and effective designs for automotive software applications.,"Adobe Suite, Sketch, User research","HTML/CSS, JavaScript","Kariya, Japan",60000,90000,True,2
Denso Corporation,Automotive,Auto Parts,Established,Large (200-999),HR Business Partner,Work closely with senior management to develop HR strategies that support the company’s business objectives.,"Human resources management, Strategic planning",Conflict resolution,"Kariya, Japan",70000,100000,True,5
Magna International Inc.,Automotive,Auto Parts,Established,Large (200-999),Software Engineer,Develop and maintain software solutions for automotive applications.,"Java, C++, Python","Automotive software experience, AWS","Ontario, Canada",70000,100000,True,2
Magna International Inc.,Automotive,Auto Parts,Established,Large (200-999),Product Manager,Oversee the development and lifecycle of automotive parts products from conception to launch.,"Product lifecycle management, Market analysis","Agile methodology, JIRA","Ontario, Canada",80000,120000,True,3
Magna International Inc.,Automotive,Auto Parts,Established,Large (200-999),Operations Manager,"Manage day-to-day operations in manufacturing facilities, ensuring efficiency and quality.","Operations management, Lean manufacturing",Six Sigma certification,"Ontario, Canada",90000,130000,False,5
